customer_id,gender,age,annual_income,spending_score,member_tier,visit_frequency,preferred_category,total_visits_last_year,total_spent_last_year,email,phone,address_district,signup_date,last_visit_date
"CUST000001","Female","21","145713","1","Platinum","Rarely","Food & Dining","1","583","customer1@example.com","13800000001","Pudong","2023-06-21","2026-03-08"
"CUST000002","Male","45","31637","4","Platinum","Biweekly","Sports & Outdoors","21","10630","customer2@example.com","13800000002","Jingan","2025-10-21","2026-03-05"
"CUST000003","Female","22","57989","1","Bronze","Weekly","Entertainment","62","14381","customer3@example.com","13800000003","Pudong","2023-05-25","2026-03-14"
"CUST000004","Male","31","84977","4","Platinum","Biweekly","Fashion","30","40789","customer4@example.com","13800000004","Changning","2024-01-24","2026-02-15"
"CUST000005","Male","33","21638","3","Platinum","Biweekly","Food & Dining","23","5972","customer5@example.com","13800000005","Jingan","2024-10-05","2026-03-14"
"CUST000006","Male","50","48247","4","Silver","Monthly","Books & Stationery","13","10035","customer6@example.com","13800000006","Pudong","2025-08-26","2026-02-24"
"CUST000007","Female","18","35733","5","Platinum","Monthly","Beauty & Cosmetics","15","10720","customer7@example.com","13800000007","Minhang","2023-05-26","2026-02-17"
"CUST000008","Male","31","44791","3","Bronze","Biweekly","Food & Dining","24","12900","customer8@example.com","13800000008","Huangpu","2023-02-10","2026-02-22"
"CUST000009","Male","23","235482","5","Silver","Monthly","Sports & Outdoors","18","84774","customer9@example.com","13800000009","Changning","2025-01-05","2026-03-11"
"CUST000010","Male","44","72695","2","Gold","Biweekly","Books & Stationery","23","13376","customer10@example.com","13800000010","Minhang","2023-10-22","2026-03-05"
"CUST000011","Female","28","24254","1","Silver","Rarely","Fashion","3","291","customer11@example.com","13800000011","Jingan","2024-02-08","2026-02-20"
"CUST000012","Female","59","30912","1","Silver","Monthly","Books & Stationery","10","1236","customer12@example.com","13800000012","Jingan","2023-05-02","2026-02-14"
"CUST000013","Male","48","35712","4","Gold","Weekly","Food & Dining","63","35998","customer13@example.com","13800000013","Jingan","2025-04-10","2026-02-16"
"CUST000014","Male","36","138177","2","Platinum","Rarely","Beauty & Cosmetics","3","3316","customer14@example.com","13800000014","Huangpu","2023-06-28","2026-02-24"
"CUST000015","Male","36","71478","2","Silver","Weekly","Fashion","51","29163","customer15@example.com","13800000015","Minhang","2024-08-05","2026-03-10"
"CUST000016","Male","18","90511","4","Platinum","Rarely","Electronics","3","4345","customer16@example.com","13800000016","Pudong","2024-10-07","2026-03-14"
"CUST000017","Female","37","53505","1","Bronze","Weekly","Beauty & Cosmetics","75","16051","customer17@example.com","13800000017","Minhang","2024-08-15","2026-02-21"
"CUST000018","Male","34","81107","2","Silver","Monthly","Entertainment","19","12328","customer18@example.com","13800000018","Minhang","2023-04-27","2026-03-04"
"CUST000019","Male","22","140303","2","Platinum","Rarely","Fashion","3","3367","customer19@example.com","13800000019","Changning","2023-07-28","2026-02-24"
"CUST000020","Male","34","77897","1","Platinum","Monthly","Home & Living","15","4674","customer20@example.com","13800000020","Xuhui","2025-05-02","2026-03-07"
"CUST000021","Male","45","80264","4","Platinum","Weekly","Entertainment","61","78338","customer21@example.com","13800000021","Jingan","2025-12-24","2026-03-06"
"CUST000022","Female","39","40420","1","Gold","Monthly","Fashion","19","3072","customer22@example.com","13800000022","Huangpu","2025-10-01","2026-03-14"
"CUST000023","Female","41","283925","3","Silver","Weekly","Entertainment","52","177169","customer23@example.com","13800000023","Jingan","2025-04-06","2026-03-04"
"CUST000024","Female","27","75572","4","Gold","Weekly","Books & Stationery","76","91896","customer24@example.com","13800000024","Xuhui","2023-06-04","2026-02-17"
"CUST000025","Male","35","40481","3","Platinum","Weekly","Food & Dining","55","26717","customer25@example.com","13800000025","Huangpu","2023-11-08","2026-03-08"
"CUST000026","Male","42","57955","3","Silver","Quarterly","Sports & Outdoors","6","4173","customer26@example.com","13800000026","Minhang","2023-09-15","2026-03-04"
"CUST000027","Female","23","59858","1","Platinum","Monthly","Food & Dining","17","4070","customer27@example.com","13800000027","Changning","2025-06-26","2026-02-26"
"CUST000028","Male","41","48310","3","Bronze","Weekly","Home & Living","57","33044","customer28@example.com","13800000028","Xuhui","2023-03-07","2026-02-27"
"CUST000029","Female","25","99791","4","Bronze","Monthly","Home & Living","17","27143","customer29@example.com","13800000029","Jingan","2023-04-16","2026-02-15"
"CUST000030","Male","44","142509","1","Silver","Quarterly","Beauty & Cosmetics","8","4560","customer30@example.com","13800000030","Xuhui","2023-08-11","2026-03-06"
"CUST000031","Male","21","52976","3","Silver","Quarterly","Sports & Outdoors","8","5086","customer31@example.com","13800000031","Changning","2024-10-12","2026-02-24"
"CUST000032","Male","49","136032","2","Bronze","Biweekly","Food & Dining","33","35912","customer32@example.com","13800000032","Xuhui","2024-10-03","2026-02-13"
"CUST000033","Male","26","257674","5","Gold","Rarely","Food & Dining","3","15460","customer33@example.com","13800000033","Changning","2024-12-24","2026-02-14"
"CUST000034","Female","64","137095","4","Gold","Biweekly","Electronics","22","48257","customer34@example.com","13800000034","Minhang","2024-12-26","2026-02-20"
"CUST000035","Male","42","45749","5","Platinum","Rarely","Home & Living","2","1830","customer35@example.com","13800000035","Jingan","2025-08-24","2026-02-27"
"CUST000036","Male","33","35427","2","Gold","Rarely","Sports & Outdoors","2","567","customer36@example.com","13800000036","Jingan","2025-11-07","2026-02-28"
"CUST000037","Male","53","29761","5","Bronze","Rarely","Beauty & Cosmetics","1","595","customer37@example.com","13800000037","Pudong","2023-02-21","2026-02-14"
"CUST000038","Male","43","32389","5","Gold","Rarely","Entertainment","2","1296","customer38@example.com","13800000038","Pudong","2023-10-22","2026-02-21"
