customer_id,name,gender,age,mobile,email,registration_date,membership_level,points,total_spent,last_purchase_date,address_district,visit_frequency,preferred_category
CUST000001,柳阳,F,33,0740-37115568,jcvsbt_i67@tom.com,2024-10-14,bronze,431,49368.51,2025-05-29,Jingan,Biweekly,Home & Living
CUST000002,树雅鑫,F,44,0618-65334685,lg0sds.q6h@sohu.com,2023-05-17,gold,6435,88532.69,2025-03-04,Yangpu,Daily,Sports & Outdoors
CUST000003,长孙海燕,F,26,0033-79375613,o1smvh_ijv@21cn.com,2025-04-03,bronze,855,38483.78,2025-07-27,Changning,Daily,Entertainment
CUST000004,寻靖琪,M,47,19258371689,knnhot_i6h@139.com,2024-09-09,gold,16303,74186.22,2024-10-07,Yangpu,Rarely,Food & Dining
CUST000005,星雨欣,F,33,15058397570,gm3lm1.jgf56@yahoo.cn,2025-02-26,silver,1805,81164.44,2025-08-31,Yangpu,Daily,Sports & Outdoors
CUST000006,于丹,F,48,0150-69751660,lm1sbt.gkv84@vip.qq.com,2025-04-30,bronze,417,98903.46,2025-07-18,Hongkou,Rarely,Food & Dining
CUST000007,郭国荣,M,44,095-60493049,i1cuji.jql@gmail.com,2023-02-25,silver,4462,2524.23,2023-12-24,Xuhui,Daily,Home & Living
CUST000008,彭玲,M,37,0515-26080170,o97sbt.sk792@tom.com,2023-05-05,bronze,940,83271.62,2025-10-18,Pudong,Biweekly,Food & Dining
CUST000009,壬明,F,18,0244-95955049,izhfoz_tg9@21cn.com,2023-09-24,bronze,812,33554.39,2024-08-10,Changning,Monthly,Electronics
CUST000010,师国良,M,67,17942131063,h6lptf54@sina.com,2024-02-17,platinum,47364,58071.32,2024-08-15,Yangpu,Monthly,Fashion
CUST000011,綦瑞霖,F,42,0860-03942324,i2v.tcv@21cn.com,2023-10-09,platinum,33327,3632.33,2023-11-14,Jingan,Rarely,Sports & Outdoors
CUST000012,随智渊,M,50,099-46420223,knnrmi_izr28@163.com,2023-07-15,bronze,919,86448.03,2024-04-14,Xuhui,Daily,Food & Dining
CUST000013,长丹,F,39,0586-27116273,lch64@foxmail.com,2026-01-22,gold,15172,5190.09,2026-02-11,Changning,Weekly,Entertainment
CUST000014,锐馥君,M,50,12381844395,izhlu8_k6d@vip.qq.com,2025-12-05,platinum,38516,40473.95,2026-03-29,Pudong,Weekly,Fashion
CUST000015,空烨霖,M,33,057-62557376,m8eiuk.q0h81@126.com,2024-09-11,platinum,36022,38574.35,2025-01-29,Xuhui,Daily,Entertainment
CUST000016,巧晟睿,F,64,14868896876,k1zu0c.kf340@tom.com,2023-02-11,gold,12886,44624.84,2025-03-10,Xuhui,Daily,Food & Dining
CUST000017,惠梓妍,F,55,0149-01299197,k5mhm1.ikl46@qq.com,2025-11-04,platinum,30652,95414.4,2026-01-10,Yangpu,Weekly,Home & Living
CUST000018,解三锋,F,28,0321-19812678,kfk51@163.com,2026-01-22,bronze,106,209.19,2026-03-27,Changning,Weekly,Electronics
CUST000019,宇文敬彪,F,38,14022437489,v9bmdm6@21cn.com,2024-06-05,platinum,49839,50118.98,2024-10-22,Xuhui,Monthly,Entertainment
CUST000020,诺中海,M,65,067-29205623,i1cvdk_q7z@sina.com,2023-02-21,gold,16341,53707.98,2025-12-04,Hongkou,Rarely,Entertainment
CUST000021,狄博超,M,38,0659-75192692,jwupu5_uws@21cn.com,2025-02-17,silver,1457,5258.03,2025-07-02,Hongkou,Rarely,Home & Living
CUST000022,海家明,M,40,0335-08952936,u52.hf9@tom.com,2023-08-31,bronze,83,19630.9,2025-11-19,Hongkou,Weekly,Entertainment
CUST000023,禚智宸,M,56,019-47455962,j8n_fwl@126.com,2025-12-23,silver,2620,64950.1,2026-03-18,Yangpu,Rarely,Entertainment
CUST000024,琴烨霖,F,20,003-63377715,k1zggq_o8635@qq.com,2025-02-14,gold,7757,8158.32,2025-03-19,Hongkou,Weekly,Food & Dining
CUST000025,竹波,F,29,067-48687544,gs2k34_fjg@126.com,2023-08-19,silver,1204,42667.23,2023-09-03,Pudong,Weekly,Entertainment
CUST000026,言擎苍,M,18,15301849323,lm1k88.kj8@gmail.com,2025-05-26,bronze,453,40465.13,2025-11-02,Xuhui,Weekly,Sports & Outdoors
CUST000027,乘懿轩,F,18,0322-90405162,hvb_i4s49@tom.com,2023-10-11,gold,9779,48905.92,2025-03-09,Pudong,Monthly,Electronics
CUST000028,禄一全,M,60,0348-30493101,fgpsbt_gf567@gmail.com,2026-01-06,bronze,670,29429.38,2026-03-22,Hongkou,Daily,Food & Dining
CUST000029,古国良,F,18,0967-02957001,v9r_vb316@126.com,2024-02-26,platinum,40406,7828.02,2025-05-17,Pudong,Weekly,Home & Living
CUST000030,米丽芬,M,48,0215-24111057,gcn_q7m@vip.qq.com,2024-06-05,silver,3878,37341.27,2024-07-01,Xuhui,Monthly,Entertainment
CUST000031,濯梓馨,M,35,15986892690,mawtue.rvz93@vip.qq.com,2024-05-12,silver,4352,42353.25,2026-01-02,Yangpu,Rarely,Electronics
CUST000032,丘梓玥,F,34,004-79210210,irkj8n2@foxmail.com,2023-10-03,bronze,139,71746.5,2024-09-12,Hongkou,Rarely,Fashion
CUST000033,路波,F,44,093-49720878,hvbhvb84@hotmail.com,2025-02-18,platinum,29983,71004.64,2026-03-19,Hongkou,Rarely,Food & Dining
CUST000034,上官文韬,F,29,15043111512,mawgge.g8b@yeah.net,2025-09-26,bronze,243,92750.69,2026-01-17,Yangpu,Biweekly,Food & Dining
CUST000035,浦思淼,F,69,0283-00889034,prulo522@yahoo.cn,2025-08-15,gold,16918,95335.49,2025-10-24,Xuhui,Daily,Electronics
CUST000036,曹宇泽,M,36,056-01392088,i2v8@qq.com,2025-08-09,platinum,40278,16674.42,2026-02-18,Hongkou,Weekly,Fashion
CUST000037,夙语堂,F,69,029-90085240,v9rmdm86@yeah.net,2025-07-24,gold,19131,14588.58,2025-11-14,Xuhui,Daily,Entertainment
CUST000038,辛风华,F,36,098-89929084,pybsbt_roi@yahoo.cn,2025-08-01,silver,2882,14736.28,2025-11-29,Yangpu,Biweekly,Food & Dining
CUST000039,贰建华,F,57,0394-80865342,lg0to3_gns@outlook.com,2025-08-11,bronze,898,73600.35,2026-03-15,Pudong,Monthly,Entertainment
CUST000040,隆一全,M,20,13541395452,i2v.tml63@sina.com,2024-09-16,bronze,131,38445.06,2025-09-23,Xuhui,Daily,Food & Dining
CUST000041,令狐文昊,F,36,16113655888,tw9izl97@tom.com,2023-04-23,silver,1797,27030.93,2025-12-10,Pudong,Daily,Sports & Outdoors
CUST000042,速鹏飞,M,48,0710-31051370,q3173@yeah.net,2024-12-07,gold,7730,47692.4,2025-11-01,Yangpu,Monthly,Fashion
CUST000043,建治文,F,33,19716409768,g7u.kgq@gmail.com,2024-10-23,silver,4352,92409.41,2025-05-14,Hongkou,Rarely,Electronics
CUST000044,纳艺涵,M,35,0179-37700689,h6lscp_k5v@163.com,2023-01-12,bronze,828,13188.88,2024-12-11,Hongkou,Monthly,Home & Living
CUST000045,陆治文,M,54,038-28091855,my2.kfc10@yeah.net,2024-10-21,bronze,16,73746.66,2025-06-13,Changning,Weekly,Sports & Outdoors
CUST000046,岳超,M,26,10866933563,fevfoz28@tom.com,2023-02-02,platinum,29283,40681.84,2023-11-23,Xuhui,Rarely,Fashion
CUST000047,貊峻熙,F,53,18211846378,tbfv9r_i2p@yahoo.com.cn,2023-10-27,bronze,825,1710.45,2025-12-03,Hongkou,Weekly,Entertainment
CUST000048,咸一全,F,24,0329-31587122,knnhot.fh465@yahoo.com.cn,2023-09-02,silver,2035,67571.88,2025-11-29,Hongkou,Weekly,Fashion
CUST000049,夙浩宇,F,55,12902202725,h6lscp89@163.com,2023-04-26,platinum,41972,96227.34,2023-09-30,Pudong,Rarely,Electronics
CUST000050,函晓博,F,68,067-74917261,hm1i2v_mbt@126.com,2025-10-27,gold,18035,42152.03,2026-02-05,Jingan,Monthly,Home & Living
CUST000051,延昊焱,M,52,082-21756248,fmnlj1.ffgk3d@gmail.com,2023-01-17,gold,11947,26291.5,2025-07-13,Xuhui,Weekly,Home & Living
CUST000052,旗义轩,F,27,0767-59299046,knnrmi69@sina.com,2024-11-26,platinum,27196,48798.12,2025-12-02,Xuhui,Monthly,Fashion
CUST000053,翁敬阳,M,42,0530-42522314,i46k5q_tg022@yahoo.cn,2024-12-08,gold,6106,18797.4,2025-06-15,Yangpu,Daily,Food & Dining
CUST000054,贡美方,F,35,11727043086,k1zk5m59@vip.qq.com,2024-09-13,silver,3129,67567.09,2024-10-08,Hongkou,Rarely,Home & Living
CUST000055,潮敬彪,M,25,060-08249638,mtlg3482@21cn.com,2025-09-20,gold,18983,22378.08,2025-10-20,Jingan,Monthly,Fashion
CUST000056,甲国香,F,54,038-38171869,fevfoz.nz6@126.com,2025-05-26,bronze,157,93459.53,2026-02-21,Jingan,Daily,Food & Dining
CUST000057,及一全,F,61,0432-14594386,k8qi4831@139.com,2025-02-17,silver,1646,17395.44,2025-08-23,Jingan,Rarely,Electronics
CUST000058,植雨欣,F,61,16901844244,ppm40@tom.com,2025-05-17,silver,1331,42956.5,2025-08-30,Pudong,Daily,Fashion
CUST000059,山熠彤,F,33,15247960485,k1zk5m_kcr28@gmail.com,2024-11-16,platinum,44602,31919.75,2025-01-18,Jingan,Biweekly,Fashion
CUST000060,梅鑫鹏,F,36,084-32543421,v9rlnf_k0f82@21cn.com,2023-07-17,gold,9249,53530.62,2023-11-28,Hongkou,Weekly,Sports & Outdoors
CUST000061,镜帅,M,35,0752-22026719,ixjlj1.iki@outlook.com,2025-12-16,bronze,70,70983.42,2026-01-20,Hongkou,Daily,Food & Dining
CUST000062,杞笑愚,M,36,0308-84411780,k18iui_fm999@vip.qq.com,2025-09-09,platinum,32003,70194.78,2026-01-21,Yangpu,Rarely,Fashion
CUST000063,樊苑博,F,25,0037-13813517,gs2m5676@vip.qq.com,2025-06-16,platinum,36823,88303.94,2025-08-26,Yangpu,Monthly,Electronics
CUST000064,江伟祺,F,22,15140071936,muq_l7q@outlook.com,2023-04-01,silver,2471,3107.7,2025-05-21,Pudong,Biweekly,Entertainment
